iter	Passed	Remaining
472	680	758
473	681	756
474	682	754
475	683	752
476	684	750
477	685	748
478	686	747
479	687	745
480	688	743
481	689	741
482	691	739
483	692	737
484	693	736
485	694	734
486	695	732
487	696	730
488	697	728
489	698	726
490	699	725
491	700	723
492	701	721
493	702	719
494	703	717
495	704	716
496	705	714
497	706	712
498	707	710
499	708	708
500	709	707
501	710	705
502	712	703
503	713	701
504	714	700
505	715	698
506	716	696
507	717	694
508	718	692
509	719	691
510	720	689
511	721	687
512	722	686
513	723	684
514	724	682
515	725	680
516	726	679
517	727	677
518	728	675
519	729	673
520	731	672
521	732	670
522	733	668
523	734	666
524	735	665
525	736	663
526	737	661
527	738	660
528	739	658
529	740	656
530	741	655
531	742	653
532	743	651
533	744	649
534	745	648
535	746	646
536	747	644
537	748	643
538	750	641
539	751	640
540	752	638
541	753	637
542	755	635
543	756	634
544	757	632
545	759	631
546	760	629
547	761	627
548	762	626
549	763	624
550	764	622
551	765	621
552	766	619
553	767	617
554	768	616
555	769	614
556	770	612
557	771	611
558	772	609
559	773	607
560	774	606
561	775	604
562	776	602
563	777	601
564	779	599
565	780	598
566	781	596
567	782	594
568	783	593
569	784	591
570	785	590
571	786	588
572	787	586
573	788	585
574	789	583
575	790	581
576	791	580
577	792	578
578	793	577
579	794	575
580	795	574
581	796	572
582	798	570
583	799	569
584	800	567
585	801	566
586	802	564
587	803	562
588	804	561
589	805	559
590	806	558
591	807	556
592	808	555
593	809	553
594	810	551
595	811	550
596	812	548
597	813	547
598	814	545
599	815	543
600	817	542
601	818	540
602	819	539
603	820	537
604	821	536
605	822	534
606	823	533
607	824	531
608	825	529
609	826	528
610	827	526
611	828	525
612	829	523
613	830	522
614	831	520
615	832	519
616	833	517
617	834	516
618	836	514
619	837	513
620	838	511
621	839	510
622	840	508
623	841	506
624	842	505
625	843	503
626	844	502
627	845	500
628	846	499
629	847	497
630	848	496
631	849	494
632	850	493
633	851	491
634	852	490
635	853	488
636	854	487
637	856	485
638	857	484
639	858	482
640	859	481
641	860	479
642	861	478
643	862	476
644	863	475
645	864	474
646	866	472
647	867	471
648	868	469
649	869	468
650	870	466
651	871	465
652	872	463
653	873	462
654	874	460
655	875	459
656	877	457
657	878	456
658	879	455
659	880	453
660	881	452
661	882	450
662	883	449
663	884	447
664	886	446
665	887	444
666	888	443
667	889	442
668	890	440
669	891	439
670	892	437
671	893	436
672	894	434
673	895	433
674	897	431
675	898	430
676	899	428
677	900	427
678	901	426
679	902	424
680	903	423
681	904	421
682	905	420
683	906	418
684	907	417
685	908	415
686	909	414
687	910	412
688	911	411
689	912	410
690	913	408
691	914	407
692	915	405
693	917	404
694	918	402
695	919	401
696	920	400
697	921	398
698	922	397
699	923	395
700	924	394
701	926	393
702	927	391
703	928	390
704	929	388
705	930	387
706	931	385
707	932	384
708	933	383
709	934	381
710	935	380
711	936	378
712	937	377
713	938	376
714	940	374
715	941	373
716	942	371
717	943	370
718	944	369
719	945	367
720	946	366
721	947	364
722	948	363
723	950	362
724	951	360
725	952	359
726	953	358
727	955	356
728	956	355
729	957	354
730	958	352
731	959	351
732	960	349
733	961	348
734	963	347
735	964	345
736	965	344
737	966	343
738	967	341
739	968	340
740	969	338
741	970	337
742	971	336
743	972	334
744	973	333
745	974	331
746	975	330
747	977	329
748	978	327
749	979	326
750	980	325
751	981	323
752	982	322
753	983	320
754	984	319
755	985	318
756	986	316
757	987	315
758	988	313
759	989	312
760	991	311
761	992	309
762	993	308
763	994	307
764	995	305
765	996	304
766	997	303
767	998	301
768	999	300
769	1000	298
770	1001	297
771	1002	296
772	1003	294
773	1004	293
774	1006	292
775	1007	290
776	1008	289
777	1010	288
778	1011	286
779	1012	285
780	1013	284
781	1015	282
782	1016	281
783	1017	280
784	1018	278
785	1019	277
786	1020	276
787	1021	274
788	1022	273
789	1023	272
790	1024	270
791	1025	269
792	1026	268
793	1027	266
794	1028	265
795	1029	263
796	1031	262
797	1032	261
798	1033	259
799	1034	258
800	1035	257
801	1036	255
802	1037	254
803	1038	253
804	1039	251
805	1040	250
806	1041	249
807	1042	247
808	1043	246
809	1044	245
810	1045	243
811	1046	242
812	1048	241
813	1049	239
814	1050	238
815	1051	237
816	1052	235
817	1053	234
818	1054	232
819	1055	231
820	1056	230
821	1057	228
822	1058	227
823	1059	226
824	1060	224
825	1061	223
826	1062	222
827	1063	220
828	1064	219
829	1065	218
830	1066	216
831	1067	215
832	1068	214
833	1070	212
834	1071	211
835	1072	210
836	1073	208
837	1074	207
838	1075	206
839	1076	205
840	1077	203
841	1078	202
842	1079	201
843	1080	199
844	1082	198
845	1083	197
846	1084	195
847	1085	194
848	1086	193
849	1087	191
850	1088	190
851	1089	189
852	1090	187
853	1091	186
854	1092	185
855	1093	183
856	1094	182
857	1095	181
858	1096	180
859	1097	178
860	1098	177
861	1099	176
862	1101	174
863	1102	173
864	1103	172
865	1104	170
866	1105	169
867	1106	168
868	1107	166
869	1108	165
870	1109	164
871	1111	163
872	1112	161
873	1113	160
874	1114	159
875	1115	157
876	1116	156
877	1117	155
878	1118	154
879	1120	152
880	1121	151
881	1122	150
882	1123	148
